EMBI Global Diversified Subindices;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fecha;Global;LATINO;REP DOM;Argentina;Bolivia;Brasil;Chile;Colombia;Costa Rica;Ecuador;El Salvador;Guatemala;Honduras;M�xico;Paraguay;Per�;Panam�;Uruguay;Venezuela;RD-LATINO;;;;;;;
29-oct-07;2,10;2,33;2,28;3,50;;1,75;1,12;1,60;;5,97;1,69;;;1,26;;1,46;1,57;2,05;4,02;-0,04;;;;;;;
30-oct-07;2,09;2,31;2,28;3,41;;1,73;1,13;1,57;;5,96;1,67;;;1,26;;1,45;1,57;2,02;3,99;-0,03;;;;;;;
31-oct-07;2,01;2,20;2,13;3,12;;1,66;1,12;1,48;;5,75;1,58;;;1,21;;1,37;1,46;1,91;3,83;-0,07;;;;;;;
01-nov-07;2,12;2,32;2,23;3,29;;1,78;1,10;1,61;;5,90;1,67;;;1,31;;1,46;1,57;1,98;4,01;-0,09;;;;;;;
02-nov-07;2,20;2,40;2,31;3,41;;1,85;1,15;1,68;;5,96;1,75;;;1,38;;1,53;1,66;2,04;4,13;-0,09;;;;;;;
05-nov-07;2,22;2,42;2,28;3,55;;1,85;1,15;1,66;;5,94;1,72;;;1,36;;1,51;1,65;2,03;4,30;-0,14;;;;;;;
06-nov-07;2,18;2,39;2,25;3,45;;1,83;1,15;1,65;;5,85;1,69;;;1,33;;1,51;1,62;1,99;4,25;-0,14;;;;;;;
07-nov-07;2,25;2,48;2,29;3,60;;1,90;1,16;1,76;;6,09;1,69;;;1,39;;1,55;1,68;2,03;4,45;-0,19;;;;;;;
08-nov-07;2,33;2,58;2,40;3,85;;1,99;1,24;1,85;;6,17;1,76;;;1,46;;1,63;1,76;2,09;4,59;-0,18;;;;;;;
09-nov-07;2,36;2,61;2,44;3,87;;2,02;1,23;1,88;;6,21;1,80;;;1,50;;1,67;1,79;2,13;4,63;-0,17;;;;;;;
13-nov-07;2,36;2,61;2,40;3,83;;2,01;1,30;1,87;;6,11;1,80;;;1,51;;1,67;1,81;2,16;4,64;-0,21;;;;;;;
14-nov-07;2,33;2,57;2,46;3,73;;1,96;1,32;1,83;;6,06;1,79;;;1,48;;1,64;1,78;2,16;4,58;-0,11;;;;;;;
15-nov-07;2,40;2,66;2,52;3,99;;2,01;1,29;1,94;;6,09;1,82;;;1,54;;1,70;1,82;2,19;4,80;-0,14;;;;;;;
16-nov-07;2,48;2,74;2,64;4,04;;2,09;1,36;2,01;;6,16;1,92;;;1,62;;1,77;1,92;2,30;4,93;-0,11;;;;;;;
19-nov-07;2,58;2,86;2,72;4,25;;2,19;1,35;2,09;;6,31;1,99;;;1,69;;1,88;1,99;2,37;5,21;-0,13;;;;;;;
20-nov-07;2,60;2,87;2,76;4,13;;2,20;1,46;2,10;;6,19;2,00;;;1,70;;1,85;2,00;2,37;5,33;-0,10;;;;;;;
21-nov-07;2,71;2,98;2,84;4,41;;2,33;1,52;2,19;;6,37;2,06;;;1,75;;1,91;2,03;2,43;5,52;-0,14;;;;;;;
23-nov-07;2,70;2,97;2,81;4,45;;2,32;1,51;2,18;;6,29;2,06;;;1,73;;1,90;2,02;2,43;5,51;-0,16;;;;;;;
26-nov-07;2,88;3,18;2,98;4,71;;2,53;1,50;2,41;;6,54;2,24;;;1,91;;2,06;2,20;2,63;5,87;-0,19;;;;;;;
27-nov-07;2,79;3,08;2,88;4,54;;2,45;1,52;2,28;;6,42;2,14;;;1,82;;1,98;2,14;2,55;5,78;-0,21;;;;;;;
28-nov-07;2,66;2,94;2,74;4,20;;2,28;1,53;2,10;;6,27;2,05;;;1,69;;1,91;2,00;2,45;5,63;-0,19;;;;;;;
29-nov-07;2,71;2,99;2,83;4,12;;2,32;1,47;2,15;;6,33;2,12;;;1,76;;1,97;2,04;2,51;5,76;-0,16;;;;;;;
30-nov-07;2,61;2,87;2,69;4,01;;2,19;1,43;2,00;;6,16;2,01;;;1,70;;1,88;1,95;2,44;5,56;-0,19;;;;;;;
03-dic-07;2,68;2,93;2,82;4,07;;2,30;1,46;2,08;;6,32;2,10;;;1,79;;1,97;2,00;2,52;5,40;-0,11;;;;;;;
04-dic-07;2,70;2,96;2,83;4,11;;2,30;1,49;2,11;;6,32;2,10;;;1,80;;1,98;2,02;2,52;5,55;-0,13;;;;;;;
05-dic-07;2,66;2,92;2,82;4,06;;2,26;1,51;2,05;;6,27;2,06;;;1,77;;1,92;1,94;2,50;5,54;-0,11;;;;;;;
06-dic-07;2,57;2,83;2,73;3,87;;2,17;1,57;1,94;;6,18;1,98;;;1,69;;1,83;1,83;2,41;5,46;-0,10;;;;;;;
07-dic-07;2,51;2,75;2,66;3,69;;2,11;1,61;1,85;;6,11;1,93;;;1,64;;1,77;1,78;2,33;5,30;-0,09;;;;;;;
10-dic-07;2,43;2,66;2,57;3,57;;2,04;1,55;1,77;;5,88;1,85;;;1,58;;1,67;1,71;2,26;5,18;-0,09;;;;;;;
11-dic-07;2,54;2,79;2,75;3,78;;2,16;1,52;1,90;;6,06;1,97;;;1,68;;1,79;1,82;2,39;5,33;-0,04;;;;;;;
12-dic-07;2,52;2,77;2,75;3,80;;2,13;1,59;1,88;;6,03;1,94;;;1,64;;1,76;1,78;2,38;5,32;-0,02;;;;;;;
13-dic-07;2,42;2,68;2,63;3,84;;2,04;1,54;1,77;;5,91;1,83;;;1,55;;1,65;1,68;2,25;5,24;-0,06;;;;;;;
14-dic-07;2,38;2,66;2,59;3,88;;2,01;1,55;1,71;;5,86;1,80;;;1,54;;1,60;1,63;2,24;5,21;-0,07;;;;;;;
17-dic-07;2,44;2,73;2,63;4,03;;2,11;1,52;1,80;;5,96;1,83;;;1,59;;1,65;1,68;2,27;5,30;-0,11;;;;;;;
18-dic-07;2,50;2,78;2,70;4,05;;2,16;1,54;1,85;;6,01;1,91;;;1,66;;1,71;1,75;2,35;5,31;-0,09;;;;;;;
19-dic-07;2,56;2,84;2,75;4,12;;2,22;1,55;1,92;;6,07;1,98;;;1,72;;1,78;1,82;2,42;5,34;-0,09;;;;;;;
20-dic-07;2,59;2,88;2,80;4,13;;2,28;1,53;1,98;;6,11;2,02;;;1,76;;1,83;1,86;2,46;5,34;-0,08;;;;;;;
21-dic-07;2,48;2,76;2,68;3,99;;2,13;1,54;1,87;;6,00;1,92;;;1,64;;1,71;1,76;2,35;5,16;-0,08;;;;;;;
24-dic-07;2,41;2,69;2,61;3,93;;2,06;1,47;1,80;;5,93;1,85;;;1,57;;1,65;1,69;2,28;5,09;-0,08;;;;;;;
26-dic-07;2,38;2,66;2,58;3,90;;2,02;1,51;1,77;;5,90;1,82;;;1,54;;1,62;1,65;2,25;5,05;-0,08;;;;;;;
27-dic-07;2,40;2,67;2,59;3,92;;2,05;1,52;1,77;;5,98;1,83;;;1,55;;1,62;1,67;2,26;5,07;-0,08;;;;;;;
28-dic-07;2,47;2,75;2,68;4,01;;2,12;1,46;1,86;;6,06;1,91;;;1,63;;1,70;1,74;2,34;5,15;-0,07;;;;;;;
31-dic-07;2,55;2,83;2,81;4,10;;2,20;1,51;1,95;;6,14;1,99;;;1,72;;1,78;1,84;2,43;5,23;-0,02;;;;;;;
02-ene-08;2,65;2,92;2,91;4,23;;2,27;1,51;2,08;;6,24;2,10;;;1,79;;1,88;1,94;2,55;5,30;-0,01;;;;;;;
03-ene-08;2,65;2,91;2,92;4,22;;2,25;1,52;2,10;;6,21;2,10;;;1,77;;1,87;1,95;2,55;5,24;0,01;;;;;;;
04-ene-08;2,71;2,97;3,01;4,36;;2,30;1,55;2,20;;6,24;2,14;;;1,80;;1,92;2,00;2,60;5,35;0,04;;;;;;;
07-ene-08;2,69;2,94;3,00;4,28;;2,29;1,54;2,19;;6,27;2,15;;;1,79;;1,88;2,01;2,61;5,20;0,06;;;;;;;
08-ene-08;2,65;2,89;3,12;4,19;;2,24;1,54;2,20;;6,22;2,14;;;1,79;;1,83;1,97;2,59;5,02;0,23;;;;;;;
09-ene-08;2,74;2,99;3,11;4,37;;2,37;1,59;2,35;;6,30;2,20;;;1,87;;1,89;2,04;2,66;5,07;0,12;;;;;;;
10-ene-08;2,66;2,88;3,03;4,21;;2,25;1,61;2,21;;6,22;2,10;;;1,76;;1,81;1,98;2,60;4,90;0,15;;;;;;;
11-ene-08;2,70;2,91;3,09;4,14;;2,30;1,59;2,26;;6,21;2,15;;;1,82;;1,90;2,05;2,60;4,90;0,18;;;;;;;
14-ene-08;2,72;2,94;3,15;4,16;;2,30;1,60;2,29;;6,21;2,22;;;1,83;;1,88;2,12;2,63;4,98;0,21;;;;;;;
15-ene-08;2,78;3,02;3,22;4,26;;2,38;1,65;2,41;;6,31;2,27;;;1,87;;1,91;2,17;2,73;5,15;0,20;;;;;;;
16-ene-08;2,77;3,01;3,27;4,31;;2,36;1,67;2,38;;6,33;2,26;;;1,84;;1,93;2,18;2,71;5,12;0,26;;;;;;;
17-ene-08;2,86;3,12;3,35;4,46;;2,47;1,65;2,50;;6,43;2,33;;;1,91;;2,02;2,26;2,79;5,32;0,23;;;;;;;
18-ene-08;2,86;3,14;3,37;4,54;;2,52;1,66;2,59;;6,41;2,30;;;1,88;;2,00;2,26;2,76;5,41;0,24;;;;;;;
22-ene-08;3,04;3,31;3,59;4,73;;2,69;1,74;2,80;;6,54;2,42;;;2,02;;2,15;2,42;2,91;5,69;0,28;;;;;;;
23-ene-08;3,09;3,38;3,66;4,87;;2,75;1,84;2,85;;6,63;2,51;;;2,05;;2,23;2,56;2,99;5,70;0,28;;;;;;;
24-ene-08;2,86;3,14;3,42;4,55;;2,52;1,76;2,51;;6,41;2,32;;;1,89;;1,95;2,34;2,80;5,41;0,28;;;;;;;
25-ene-08;2,91;3,21;3,53;4,68;;2,57;1,71;2,57;;6,42;2,37;;;1,99;;1,99;2,38;2,83;5,54;0,31;;;;;;;
28-ene-08;2,90;3,20;3,52;4,70;;2,59;1,70;2,59;;6,42;2,36;;;2,01;;1,99;2,39;2,84;5,37;0,31;;;;;;;
29-ene-08;2,85;3,16;3,54;4,66;;2,53;1,71;2,53;;6,38;2,32;;;1,95;;1,96;2,31;2,80;5,35;0,38;;;;;;;
30-ene-08;2,78;3,08;3,49;4,51;;2,43;1,72;2,39;;6,37;2,25;;;1,91;;1,94;2,25;2,78;5,22;0,41;;;;;;;
31-ene-08;2,88;3,18;3,59;4,66;;2,54;1,71;2,56;;6,49;2,35;;;1,98;;2,05;2,38;2,93;5,32;0,41;;;;;;;
01-feb-08;2,91;3,20;3,64;4,62;;2,58;1,71;2,57;;6,55;2,40;;;2,00;;2,10;2,40;2,91;5,33;0,44;;;;;;;
